# Design Points of Design of Experiments
# Custom
# ,P1 - Force X Component (N) ,P2 - Moment Y Component (N m) ,P6 - Parameter 2 (mm) ,P13 - inner_ID (mm) ,P14 - inner_OD (mm) ,P15 - outer_ID (mm) ,P16 - outer_OD (mm) ,P7 - Deformation Probe 2 Minimum Z Axis (m) ,P8 - Deformation Probe Maximum Z Axis (m) ,P9 - z_outer_below Maximum Z Axis (m) ,P10 - z_outer_top Minimum Z Axis (m) 
Name,P1,P2,P6,P13,P14,P15,P16,P7,P8,P9,P10
99,-179.52300000000002,96.335591394745336,-50,7,8,8,9,-0.001045640092343092,0.0010632238117977977,0.0010362130124121904,-0.0011208420619368553
100,-179.52300000000002,96.335591394745336,-50,9,10,10,11,-0.00071324891177937388,0.00072419969365000725,0.00063519197283312678,-0.00070218677865341306
101,-179.52300000000002,96.335591394745336,-50,11,12,12,13,-0.000521448440849781,0.00052846723701804876,0.00042439877870492637,-0.00047950094449333847
102,-179.52300000000002,96.335591394745336,-50,13,14,14,15,-0.00040066055953502655,0.00040492397965863347,0.00030085095204412937,-0.000347482186043635
106,-266.3415,142.92411510204019,110,7,8,8,9,-0.00063678115839138627,0.00058507657377049327,0.00028969551203772426,-0.00041816648445092142
107,-266.3415,142.92411510204019,110,9,10,10,11,-0.00049935828428715467,0.00043603076483123004,0.00016508673434145749,-0.00027449199114926159
108,-266.3415,142.92411510204019,110,11,12,12,13,-0.00043287663720548153,0.00035395362647250295,9.9566590506583452E-05,-0.00019944256928283721
109,-266.3415,142.92411510204019,110,13,14,14,15,-0.00040416858973912895,0.00030538340797647834,6.1141610785853118E-05,-0.00015485644689761102
113,-266.3415,142.92411510204019,70,7,8,8,9,-0.00088361109374091029,0.00088462256826460361,0.000659376208204776,-0.00079143309267237782
114,-266.3415,142.92411510204019,70,9,10,10,11,-0.00063341023633256555,0.00061125250067561865,0.00039788399590179324,-0.00049888098146766424
115,-266.3415,142.92411510204019,70,11,12,12,13,-0.00048874871572479606,0.00045139918802306056,0.00026177900144830346,-0.00034252996556460857
116,-266.3415,142.92411510204019,70,13,14,14,15,-0.00039202685002237558,0.00035465636756271124,0.00018130600801669061,-0.00024980743182823062
120,-266.3415,142.92411510204019,30,7,8,8,9,-0.0011346311075612903,0.0011501130647957325,0.000990928034298122,-0.0011241312604397535
121,-266.3415,142.92411510204019,30,9,10,10,11,-0.0007882605423219502,0.00079260487109422684,0.00060258107259869576,-0.00070714339381083846
122,-266.3415,142.92411510204019,30,11,12,12,13,-0.00058823637664318085,0.00058327452279627323,0.00040001081652007997,-0.00048446079017594457
123,-266.3415,142.92411510204019,30,13,14,14,15,-0.00046289432793855667,0.00044905117829330266,0.00028224961715750396,-0.00035189429763704538
127,-266.3415,142.92411510204019,-10,7,8,8,9,-0.0013588888105005026,0.0013795124832540751,0.0012841074494645,-0.0014142650179564953
128,-266.3415,142.92411510204019,-10,9,10,10,11,-0.00093303038738667965,0.00094458815874531865,0.00078484363621100783,-0.00088763149688020349
