Name,P1,P2,P6,P13,P14,P15,P16,P7,P8,P9,P10
DP 112,-554.8781250000001,131.29513562925038,70.0,7.0,8.0,8.0,9.0,,,,
DP 113,-554.8781250000001,131.29513562925038,70.0,9.0,10.0,10.0,11.0,,,,
DP 114,-554.8781250000001,131.29513562925038,70.0,11.0,12.0,12.0,13.0,,,,
DP 115,-554.8781250000001,131.29513562925038,70.0,13.0,14.0,14.0,15.0,,,,
DP 116,-554.8781250000001,131.29513562925038,70.0,15.0,16.0,16.0,17.0,,,,
DP 117,-554.8781250000001,131.29513562925038,70.0,17.0,18.0,18.0,19.0,,,,
DP 118,-554.8781250000001,131.29513562925038,70.0,19.0,20.0,20.0,21.0,,,,
DP 119,-554.8781250000001,131.29513562925038,30.0,7.0,8.0,8.0,9.0,,,,
DP 120,-554.8781250000001,131.29513562925038,30.0,9.0,10.0,10.0,11.0,,,,
DP 121,-554.8781250000001,131.29513562925038,30.0,11.0,12.0,12.0,13.0,,,,
DP 122,-554.8781250000001,131.29513562925038,30.0,13.0,14.0,14.0,15.0,,,,
DP 123,-554.8781250000001,131.29513562925038,30.0,15.0,16.0,16.0,17.0,,,,
DP 124,-554.8781250000001,131.29513562925038,30.0,17.0,18.0,18.0,19.0,,,,
DP 125,-554.8781250000001,131.29513562925038,30.0,19.0,20.0,20.0,21.0,,,,
DP 126,-554.8781250000001,131.29513562925038,-10.0,7.0,8.0,8.0,9.0,,,,
DP 127,-554.8781250000001,131.29513562925038,-10.0,9.0,10.0,10.0,11.0,,,,
DP 128,-554.8781250000001,131.29513562925038,-10.0,11.0,12.0,12.0,13.0,,,,
DP 129,-554.8781250000001,131.29513562925038,-10.0,13.0,14.0,14.0,15.0,,,,
DP 130,-554.8781250000001,131.29513562925038,-10.0,15.0,16.0,16.0,17.0,,,,
DP 131,-554.8781250000001,131.29513562925038,-10.0,17.0,18.0,18.0,19.0,,,,
DP 132,-554.8781250000001,131.29513562925038,-10.0,19.0,20.0,20.0,21.0,,,,
DP 133,-554.8781250000001,131.29513562925038,-50.0,7.0,8.0,8.0,9.0,,,,
DP 134,-554.8781250000001,131.29513562925038,-50.0,9.0,10.0,10.0,11.0,,,,
DP 135,-554.8781250000001,131.29513562925038,-50.0,11.0,12.0,12.0,13.0,,,,
DP 136,-554.8781250000001,131.29513562925038,-50.0,13.0,14.0,14.0,15.0,,,,
DP 137,-554.8781250000001,131.29513562925038,-50.0,15.0,16.0,16.0,17.0,,,,
DP 138,-554.8781250000001,131.29513562925038,-50.0,17.0,18.0,18.0,19.0,,,,
DP 139,-554.8781250000001,131.29513562925038,-50.0,19.0,20.0,20.0,21.0,,,,
DP 140,-735.75,174.09299751944798,110.0,7.0,8.0,8.0,9.0,,,,
DP 141,-735.75,174.09299751944798,110.0,9.0,10.0,10.0,11.0,,,,
DP 142,-735.75,174.09299751944798,110.0,11.0,12.0,12.0,13.0,,,,
DP 143,-735.75,174.09299751944798,110.0,13.0,14.0,14.0,15.0,,,,
DP 144,-735.75,174.09299751944798,110.0,15.0,16.0,16.0,17.0,,,,
DP 145,-735.75,174.09299751944798,110.0,17.0,18.0,18.0,19.0,,,,
DP 146,-735.75,174.09299751944798,110.0,19.0,20.0,20.0,21.0,,,,
DP 147,-735.75,174.09299751944798,70.0,7.0,8.0,8.0,9.0,,,,
DP 148,-735.75,174.09299751944798,70.0,9.0,10.0,10.0,11.0,,,,
DP 149,-735.75,174.09299751944798,70.0,11.0,12.0,12.0,13.0,,,,
DP 150,-735.75,174.09299751944798,70.0,13.0,14.0,14.0,15.0,,,,
DP 151,-735.75,174.09299751944798,70.0,15.0,16.0,16.0,17.0,,,,
DP 152,-735.75,174.09299751944798,70.0,17.0,18.0,18.0,19.0,,,,
DP 153,-735.75,174.09299751944798,70.0,19.0,20.0,20.0,21.0,,,,
DP 154,-735.75,174.09299751944798,30.0,7.0,8.0,8.0,9.0,,,,
DP 155,-735.75,174.09299751944798,30.0,9.0,10.0,10.0,11.0,,,,
DP 156,-735.75,174.09299751944798,30.0,11.0,12.0,12.0,13.0,,,,
DP 157,-735.75,174.09299751944798,30.0,13.0,14.0,14.0,15.0,,,,
DP 158,-735.75,174.09299751944798,30.0,15.0,16.0,16.0,17.0,,,,
DP 159,-735.75,174.09299751944798,30.0,17.0,18.0,18.0,19.0,,,,
DP 160,-735.75,174.09299751944798,30.0,19.0,20.0,20.0,21.0,,,,
DP 161,-735.75,174.09299751944798,-10.0,7.0,8.0,8.0,9.0,,,,
DP 162,-735.75,174.09299751944798,-10.0,9.0,10.0,10.0,11.0,,,,
DP 163,-735.75,174.09299751944798,-10.0,11.0,12.0,12.0,13.0,,,,
DP 164,-735.75,174.09299751944798,-10.0,13.0,14.0,14.0,15.0,,,,
DP 165,-735.75,174.09299751944798,-10.0,15.0,16.0,16.0,17.0,,,,
DP 166,-735.75,174.09299751944798,-10.0,17.0,18.0,18.0,19.0,,,,
DP 167,-735.75,174.09299751944798,-10.0,19.0,20.0,20.0,21.0,,,,
DP 168,-735.75,174.09299751944798,-50.0,7.0,8.0,8.0,9.0,,,,
DP 169,-735.75,174.09299751944798,-50.0,9.0,10.0,10.0,11.0,,,,
DP 170,-735.75,174.09299751944798,-50.0,11.0,12.0,12.0,13.0,,,,
DP 171,-735.75,174.09299751944798,-50.0,13.0,14.0,14.0,15.0,,,,
DP 172,-735.75,174.09299751944798,-50.0,15.0,16.0,16.0,17.0,,,,
DP 173,-735.75,174.09299751944798,-50.0,17.0,18.0,18.0,19.0,,,,
DP 174,-735.75,174.09299751944798,-50.0,19.0,20.0,20.0,21.0,,,,
