# Design Points of Design of Experiments;;;;;
# Custom;;;;;
# ;P1 - Force X Component (N);P2 - Moment Y Component (N m);P6 - Parameter 2 (mm);P7 - Deformation Probe 2 Minimum Z Axis (m);P8 - Deformation Probe Maximum Z Axis (m)
Name;P1;P2;P6;P7;P8
45;-150;157.5;100;-0.00035850785207003355;0.0002935099764727056
46;-150;200;-20;-0.00072894868208095431;0.00072265387279912829
47;-150;200;10;-0.00064618024043738842;0.00062996149063110352
48;-150;200;40;-0.00056854414287954569;0.00053041934734210372
49;-150;200;70;-0.00049025722546502948;0.00043875706614926457
50;-150;200;100;-0.00046765705337747931;0.0003834633098449558
51;-100;30;-20;-4.9287471483694389E-05;5.1364742830628529E-05
52;-100;30;10;-4.8738118493929505E-05;4.9331058107782155E-05
53;-100;30;40;-4.6903227485017851E-05;4.5406399294734E-05
54;-100;30;70;-4.4371925469022244E-05;4.0214723412645981E-05
55;-100;30;100;-4.6558681788155809E-05;3.6811190511798486E-05
56;-100;72.5;-20;-0.00022902537602931261;0.00022826343774795532
57;-100;72.5;10;-0.00020593870431184769;0.00020172324730083346
58;-100;72.5;40;-0.000183865922736004;0.00017192053201142699
59;-100;72.5;70;-0.00016056610911618918;0.00014398149505723268
60;-100;72.5;100;-0.00015563471242785454;0.00012680303188972175
61;-100;115;-20;-0.00040853905375115573;0.00040538364555686712
62;-100;115;10;-0.00036295288009569049;0.00035427726106718183
63;-100;115;40;-0.00032011771691031754;0.00029894366161897779
64;-100;115;70;-0.00027709832647815347;0.00024745226255618036
65;-100;115;100;-0.00026459895889274776;0.00021688433480449021
66;-100;157.5;-20;-0.000588011636864394;0.00058252183953300118
67;-100;157.5;10;-0.00052019977010786533;0.00050662655849009752
68;-100;157.5;40;-0.00045662885531783104;0.00042574547114782035
69;-100;157.5;70;-0.00039344938704743981;0.00035105558345094323
70;-100;157.5;100;-0.00037291395710781217;0.00030739465728402138
71;-100;200;-20;-0.0007674582302570343;0.00075966538861393929
72;-100;200;10;-0.00067688594572246075;0.0006594792939722538
73;-100;200;40;-0.00059375038836151361;0.00055204168893396854
74;-100;200;70;-0.00050913990708068013;0.00045527468319050968
75;-100;200;100;-0.00048266354133374989;0.00039700063643977046
76;-50;30;-20;-8.8067965407390147E-05;8.81495070643723E-05
77;-50;30;10;-7.9835052019916475E-05;7.84844669396989E-05
78;-50;30;40;-7.1792892413213849E-05;6.7389271862339228E-05
79;-50;30;70;-6.3056730141397566E-05;5.6892808061093092E-05
80;-50;30;100;-6.1699742218479514E-05;5.0265578465769067E-05
81;-50;72.5;-20;-0.00026766900555230677;0.00026517108199186623
82;-50;72.5;10;-0.00023692430113442242;0.00023095024516806006
83;-50;72.5;40;-0.00020835598115809262;0.00019413382688071579
84;-50;72.5;70;-0.00017961926641874015;0.00016031692211981863
85;-50;72.5;100;-0.00017057516379281878;0.00014039230882190168
86;-50;115;-20;-0.00044710870133712888;0.00044229649938642979
87;-50;115;10;-0.000393944326788187;0.00038350227987393737
88;-50;115;40;-0.00034484179923310876;0.00032097348594106734
89;-50;115;70;-0.00029557998641394079;0.00026419394998811185
90;-50;115;100;-0.00027964235050603747;0.00023048458388075233
91;-50;157.5;-20;-0.0006266195559874177;0.00061945297056809068
92;-50;157.5;10;-0.00055120175238698721;0.000535863742697984
93;-50;157.5;40;-0.00048063381109386683;0.00044840291957370937
94;-50;157.5;70;-0.00041207903996109962;0.00036775713670067489
95;-50;157.5;100;-0.00038863770896568894;0.00032058145734481514
96;-50;200;-20;-0.00080639321822673082;0.00079634843859821558
97;-50;200;10;-0.00070813100319355726;0.00068848044611513615
98;-50;200;40;-0.00061740452656522393;0.00057503621792420745
99;-50;200;70;-0.00052846735343337059;0.00047134383930824697
100;-50;200;100;-0.00049821991706267;0.00041010018321685493
