S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.22131	1.3399e-002	1.074e-002	0.	7.8804e+005
0.22282	1.4804e-002	1.1292e-002	0.	7.8079e+005
0.22432	1.6214e-002	1.1829e-002	0.	7.7462e+005
0.22583	1.7638e-002	1.2331e-002	0.	7.6757e+005
0.22734	1.9067e-002	1.2814e-002	0.	7.6435e+005
0.22885	2.0506e-002	1.3272e-002	0.	7.6096e+005
0.23036	2.1955e-002	1.3694e-002	0.	7.5365e+005
0.23187	2.3408e-002	1.4102e-002	0.	7.5011e+005
0.23338	2.4867e-002	1.4488e-002	0.	7.4394e+005
0.23489	2.6329e-002	1.4862e-002	0.	7.3486e+005
0.2364	2.7793e-002	1.5231e-002	0.	7.2267e+005
0.23791	2.9259e-002	1.559e-002	0.	7.0974e+005
0.23942	3.0727e-002	1.594e-002	0.	6.992e+005
0.24093	3.2197e-002	1.6282e-002	0.	6.9022e+005
0.24244	3.367e-002	1.661e-002	0.	6.793e+005
0.24395	3.5146e-002	1.6926e-002	0.	6.6861e+005
0.24545	3.6624e-002	1.7233e-002	0.	6.5765e+005
0.24696	3.8104e-002	1.7527e-002	0.	6.443e+005
0.24847	3.9587e-002	1.7812e-002	0.	6.3111e+005
0.24998	4.107e-002	1.8089e-002	0.	6.1873e+005
0.25149	4.2556e-002	1.8358e-002	0.	6.0799e+005
0.253	4.4042e-002	1.8618e-002	0.	5.9295e+005
0.25451	4.553e-002	1.8872e-002	0.	5.7549e+005
0.25602	4.7019e-002	1.9119e-002	0.	5.5675e+005
0.25753	4.8509e-002	1.9359e-002	0.	5.387e+005
0.25904	5.e-002	1.9594e-002	0.	5.2269e+005
0.26055	5.1492e-002	1.9821e-002	0.	5.0721e+005
0.26206	5.2985e-002	2.0041e-002	0.	4.9125e+005
0.26357	5.4479e-002	2.0256e-002	0.	4.7593e+005
0.26508	5.5975e-002	2.0462e-002	0.	4.5944e+005
0.26659	5.7471e-002	2.0661e-002	0.	4.4158e+005
0.26809	5.8968e-002	2.0855e-002	0.	4.238e+005
0.2696	6.0466e-002	2.1038e-002	0.	4.0484e+005
